Filter	Peak	Avg	AF	Time
dB-A	75.94	74.62	705	2022/7/11 16:11:35
dB-A	73.43	74.75	462	2022/7/11 16:11:35
dB-A	75.45	74.90	635	2022/7/11 16:11:36
dB-A	76.36	75.10	715	2022/7/11 16:11:36
dB-A	72.82	74.98	312	2022/7/11 16:11:36
dB-A	73.49	74.95	699	2022/7/11 16:11:36
dB-A	72.73	75.01	285	2022/7/11 16:11:36
dB-A	75.59	75.02	279	2022/7/11 16:11:36
dB-A	73.81	74.62	651	2022/7/11 16:11:36
dB-A	75.00	74.46	226	2022/7/11 16:11:36
dB-A	75.57	74.42	236	2022/7/11 16:11:36
dB-A	75.13	74.59	279	2022/7/11 16:11:36
dB-A	75.18	74.57	253	2022/7/11 16:11:37
dB-A	74.48	74.38	823	2022/7/11 16:11:37
dB-A	74.06	74.50	279	2022/7/11 16:11:37
dB-A	77.03	74.86	333	2022/7/11 16:11:37
dB-A	76.08	75.19	285	2022/7/11 16:11:37
dB-A	75.03	75.14	457	2022/7/11 16:11:37
dB-A	75.30	75.29	457	2022/7/11 16:11:37
dB-A	77.33	75.52	737	2022/7/11 16:11:37
dB-A	73.35	75.30	366	2022/7/11 16:11:37
dB-A	74.87	75.27	360	2022/7/11 16:11:37
dB-A	77.25	75.48	306	2022/7/11 16:11:37
dB-A	73.97	75.43	339	2022/7/11 16:11:38
dB-A	72.84	75.30	559	2022/7/11 16:11:38
dB-A	71.37	74.74	398	2022/7/11 16:11:38
dB-A	74.73	74.60	290	2022/7/11 16:11:38
dB-A	74.09	74.51	672	2022/7/11 16:11:38
dB-A	75.34	74.51	619	2022/7/11 16:11:38
dB-A	72.83	74.06	328	2022/7/11 16:11:38
dB-A	72.88	74.02	328	2022/7/11 16:11:38
dB-A	74.49	73.98	672	2022/7/11 16:11:38
dB-A	70.55	73.31	344	2022/7/11 16:11:38
dB-A	77.41	73.65	484	2022/7/11 16:11:38
dB-A	73.25	73.69	425	2022/7/11 16:11:39
dB-A	76.44	74.20	678	2022/7/11 16:11:39
dB-A	75.57	74.28	419	2022/7/11 16:11:39
